Korean Word	Polish Translation
어머니	mama
어서	proszę, szybko
어서 오세요	witamy (proszę wejść)
어제	wczoraj
언니	starsza siostra
언어	język obcy
언어교육원	instytut edukacji językowej
언제	kiedy
얼마	ile
얼마예요	ile to kosztuje
없다	nie znajdować się, nie mieć
여기	tutaj
여기/거기/저기	tutaj/tam/tam
여기요	przepraszam (do obsługi), proszę, tutaj
여러분	hej, wszyscy
여름	lato
여자	dziewczyna, kobieta
여자친구	dziewczyna/girlfriend
역	stacja
연극	sztuka teatralna
연필	ołówek
영/공	zero
영국	UK
영어	angielski
영화	film
영화관	kino
영화를 보다	oglądać film
옆	obok, przy
옆오른쪽	prawa strona
옆왼쪽	lewa strona
오늘	dzisiaj
오다	przychodzić/przybywać
오렌지	pomarańcza
오른쪽	prawa strona
오이	ogórek
오이김치	kimczi z ogórka
오후	popołudnie
온라인	online/w necie
옷	ubranie
옷가게	sklep odzieżowy
옷을 사다	kupować ubrania
옷장	szafa
와	i, z
와인	wino
왔어요	przybył (c.przeszły)
왜	dlaczego?
외국인	obcokrajowiec
왼쪽	lewa strona
요리	gotowanie, kuchnia, potrawa
요리사	kucharz
요일	dzień tygodnia
요즘	ostatnio
우동	udon makaron
우리	my / nasze
우산	parasol
우유	mleko
우체국	poczta
운동	ćwiczenia
운동하다	ćwiczyć fizycznie
운동화	buty sportowe
운전면허증	prawo jazdy
원	won koreański
월	miesiąc
위	na, nad
육개장	gorąca zupa z wołowiną, ostra
은행	bank, drzewo (gatunek śmierdzący)
음	hmm
음력	kalendarz księżycowy
음식	jedzenie, posiłek
의사	lekarz
의자	krzesło
이	zęby (potocznie)
이거	to/ten
이다	być (jest się czymś)
이런	taki, tego rodzaju
이름	imię
이발소	zakład fryzjerski
이번주	w tym tygodniu
이빨	zęby (u zwierząt, kły)
이타리아노	włoski
인	końcówka -> osoba
인도	Indie
인도네시아	indonezja
인사말	pozdrowienia/zwroty grzecznościowe
인사말 표현	wyrażenia powitalne
인치	cal
일	praca, dzień
일본	Japonia
일요일	niedziela
일하다	pracować
읽다	przeczytać
읽으세요	przeczytaj
있다 (있어요)	być (znajdować się), mieć
있어요	jest
자	linijka
자기	własne
자기야	kochanie
자는	jeśli chodzi o mnie
자다	spać
자주	często
잘	dobrze
잘 듣고	wysłuchaj uważnie
잘하다	dobrze zrobione
잠	sen
잠깐만	momencik, poczekaj chwilę
잠을 자다	spać
잡지	magazyn kolorowy, czasopismo
장을 보다	robić zakupy spożywcze
재미	zabawa
저	ja
저기요!	hej - zwracamy się o uwagę
저녁	kolacja
전	przed, wcześniej, temu
전	koreański naleśnik
전자	elektroniczny
전자사전	słownik elektroniczny
전쟁	wojna
전혀	zupełnie, w ogóle
전화	telefon
전화번호	numer telefonu
점심	obiad
정말	naprawde
정말	naprawdę, szczerze, serio
제	mój
제	mój
제일	najbardziej, naj-
조금	trochę, nieco
조금,좀	troszkę
조심	ostrożność, przestroga
졸업	absolwent
졸업식	uroczystość wręczenia dyplomów
좀	zmiękczenie prośby (신문 좀 주세요 proszę gazete)
종업원	pracownik
좋다	być dobrym, podobać się
좋아요	dobrze (świetnie)
주	tydzień
주다	dawać
주말	weekend
주머니	kieszeń
주부	gospodyni domowa
주세요	proszę
주소	adres
주스	sok
죽	ryżowa
죽부인	poduszka pleciona z bambusa
줄	linia
중	środek
중국	Chiny
중앙	centrum, środek
지갑	portfel
지금	teraz
지난주	w zeszłym tygodniu
지내다	radzić sobie/mieć się, mieszkać/przebywać
지도	mapa
지만	ale
지않다	nie - zaprzeczenie
지우개	gumka do ścierania
지하	podziemie
지하철	metro
지하철역	stacja metra
지혜	mądrość (życiowa)
직업	zawód
질문	pytanie
집	dom
집에서	w domu
쪽	strona
찌개	końcówka - zupa ze sporą wkładką
찜질방	sauna koreańska
차	samochód, herbata
차례	obrządek dla przodków
참	prawdziwie
찻집	herbaciarnia
창문	okno
책	książka
책방	czytelnia
책상	biurko
책을 읽다	przeczytać książkę
철	żelazo, pora roku/sezon
철길	tory
초밥	sushi
초복,중복,말복	najcieplejsze dni lata
초콜릿	czekolada
추석	추석 święto przodków
축구	piłka nożna
취미	hobby
층	piętro
치맥	kurczak i piwo (wyjście do knajpy na to)
치아	zęby (formalnie, medycznie)
치킨	smażony kurczak, nuggetsy
친구	kolega/koleżanka/znajomy
친구를 보다	widzieć się z przyjaciółmi
칠판	tablica
침대	łóżko
카드	karta
카메라	aparat fotograficzny
카페	kawiarnia
캐나다	Kanada
커피를 마시다	pić kawę
커피숍	kawiarnia
컴퓨터	komputer
케이크	ciasto/tort
코엑스몰	centrum handlowe COEX
코트	płaszcz
콜라	cola
크리스마스	Boże Narodzenie
큰	duży, wielki
키위	kiwi
타워	wieża
태권도를 배우다	naucz się taekwondo
테니스	tenis
텔레비전	TV
토끼	królik
토마토	pomidor
튀김	tempura/smażone danie
틀리다	być niepoprawnym
틀리면	jeśli niepoprawne
파	cebula, szczypior
파김치	kimchi z cebulką zieloną (dymka)
파인애플	ananas
파키스탄	Pakistan
파티	impreza
팥	sos z fasoli czerwonawej
페이지	strona
편의점	convinient store
편지 	list
폐	płuco
포도	winogrona
폰	telefon
폴란드	Polska
표현	wyrażenie
프랑스	Francja
피곤	zmęczony
피자	pizza
핀란드	Finlandia
필리핀	Filipiny
필요	niezbędny
필통	piórnik
하다	robić
하루	dzień
하루 종일	cały dzień
학교	szkoła
학생	uczeń
학생 식당	stołówka studencka
학생증	legitymacja studencka
한국	Korea Pd
한국 사람	koreańczyk
한옥	hanok - tradycyjny dom koreański
한정식	koreańskie jedzenie
함께	razem (wyszukana forma)
핸드폰	telefon komórkowy
햄버거	hamburger
행복하세요	"życzę Ci szczęścia"
헬스장	siłownia
호주	Australia
혼자	sam, samemu
홍차	czarna herbata
화	-obuwie (końcówka)
화장실	toaleta
화채	deseru arbuz/sprite/lód
회사	firma
회사원	pracownik biurowy
효	obowiązek synowski
효자손	drapaczka
훨씬	znacznie
휴대	przenośny
휴대폰	telefon komórkowy
휴지	chusteczki/papier toaletowy
휴지통	kosz na śmieci
흐리다	jest pochmurnie
힘들어요	to trudne
